Country,date,daily_cases,cumulative_cases,latitude,longitude,Continents,SubRegion,deaths,cumulative_deaths
113,Andorra,2022-05-24,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
114,Andorra,2022-05-25,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
115,Andorra,2022-05-26,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
116,Andorra,2022-05-27,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
117,Andorra,2022-05-28,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
118,Andorra,2022-05-29,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
119,Andorra,2022-05-30,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
120,Andorra,2022-05-31,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
121,Andorra,2022-06-01,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
122,Andorra,2022-06-02,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
123,Andorra,2022-06-03,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
124,Andorra,2022-06-04,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
125,Andorra,2022-06-05,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
126,Andorra,2022-06-06,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
127,Andorra,2022-06-07,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
128,Andorra,2022-06-08,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
129,Andorra,2022-06-09,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
130,Andorra,2022-06-10,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
131,Andorra,2022-06-11,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
132,Andorra,2022-06-12,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
133,Andorra,2022-06-13,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
134,Andorra,2022-06-14,0,0,1.521801,42.506285,Europe,Southern Europe,0,0
