DateRep,CountryExp,CountryCode,Source,ConfCases
2022-05-08,Netherlands,NL,EI,0
2022-05-08,Norway,NO,TESSy,0
2022-05-08,Poland,PL,TESSy,0
2022-05-08,Portugal,PT,EI,0
2022-05-08,Romania,RO,TESSy,0
2022-05-08,Slovenia,SI,TESSy,0
2022-05-08,Spain,ES,TESSy,2
2022-05-08,Sweden,SE,TESSy,0
2022-05-09,Austria,AT,EI,0
2022-05-09,Belgium,BE,TESSy,0
2022-05-09,Czechia,CZ,TESSy,0
2022-05-09,Denmark,DK,EI,0
2022-05-09,Finland,FI,EI,0
2022-05-09,France,FR,EI,0
2022-05-09,Germany,DE,EI,0
2022-05-09,Greece,EL,TESSy,0
2022-05-09,Hungary,HU,TESSy,0
2022-05-09,Iceland,IS,EI,0
2022-05-09,Ireland,IE,TESSy,0
2022-05-09,Italy,IT,TESSy,1
2022-05-09,Latvia,LV,TESSy,0
2022-05-09,Luxembourg,LU,EI,0
2022-05-09,Malta,MT,TESSy,0
2022-05-09,Netherlands,NL,EI,0
2022-05-09,Norway,NO,TESSy,0
2022-05-09,Poland,PL,TESSy,0
2022-05-09,Portugal,PT,EI,0
2022-05-09,Romania,RO,TESSy,0
2022-05-09,Slovenia,SI,TESSy,0
2022-05-09,Spain,ES,TESSy,5
2022-05-09,Sweden,SE,TESSy,0
2022-05-10,Austria,AT,EI,0
2022-05-10,Belgium,BE,TESSy,0
2022-05-10,Czechia,CZ,TESSy,0
2022-05-10,Denmark,DK,EI,0
2022-05-10,Finland,FI,EI,0
2022-05-10,France,FR,EI,0
2022-05-10,Germany,DE,EI,0
2022-05-10,Greece,EL,TESSy,0
2022-05-10,Hungary,HU,TESSy,0
2022-05-10,Iceland,IS,EI,0
2022-05-10,Ireland,IE,TESSy,0
2022-05-10,Italy,IT,TESSy,0
2022-05-10,Latvia,LV,TESSy,0
2022-05-10,Luxembourg,LU,EI,0
2022-05-10,Malta,MT,TESSy,0
2022-05-10,Netherlands,NL,EI,0
2022-05-10,Norway,NO,TESSy,0
2022-05-10,Poland,PL,TESSy,0
2022-05-10,Portugal,PT,EI,0
2022-05-10,Romania,RO,TESSy,0
2022-05-10,Slovenia,SI,TESSy,0
2022-05-10,Spain,ES,TESSy,7
2022-05-10,Sweden,SE,TESSy,0
2022-05-11,Austria,AT,EI,0
2022-05-11,Belgium,BE,TESSy,0
2022-05-11,Czechia,CZ,TESSy,0
2022-05-11,Denmark,DK,EI,0
2022-05-11,Finland,FI,EI,0
2022-05-11,France,FR,EI,0
2022-05-11,Germany,DE,EI,0
2022-05-11,Greece,EL,TESSy,0
2022-05-11,Hungary,HU,TESSy,0
2022-05-11,Iceland,IS,EI,0
2022-05-11,Ireland,IE,TESSy,0
2022-05-11,Italy,IT,TESSy,0
2022-05-11,Latvia,LV,TESSy,0
2022-05-11,Luxembourg,LU,EI,0
2022-05-11,Malta,MT,TESSy,0
2022-05-11,Netherlands,NL,EI,0
2022-05-11,Norway,NO,TESSy,0
2022-05-11,Poland,PL,TESSy,0
2022-05-11,Portugal,PT,EI,0
